loss,pred_loss,recon_loss,pred_mae,val_loss,val_mae
0.026365673,0.026365673,0.0,0.11644207,0.005493404,0.058311682
0.011203291,0.011203291,0.0,0.07556407,0.004987186,0.055449706
0.010249978,0.010249978,0.0,0.07120474,0.0048172106,0.05446937
0.009881464,0.009881464,0.0,0.06954353,0.0046968064,0.053734623
0.009657841,0.009657841,0.0,0.06859673,0.0046015023,0.05316235
0.009428342,0.009428342,0.0,0.06782269,0.004449163,0.05226472
0.009114359,0.009114359,0.0,0.0670538,0.0043079513,0.051401682
0.00866015,0.00866015,0.0,0.06616777,0.0041193273,0.050271627
0.0081516635,0.0081516635,0.0,0.065044396,0.003872431,0.048808802
0.0076267417,0.0076267417,0.0,0.06353914,0.003713135,0.047805965
0.31091586,0.015034481,0.9862702,0.08967788,0.0043253535,0.051839646
0.20099618,0.011533633,0.6315413,0.078741275,0.00377097,0.04835616
0.17955181,0.0104141785,0.5637911,0.07510818,0.003567198,0.047037635
0.1666576,0.009780324,0.5229241,0.07298187,0.0034689223,0.046405382
0.15739961,0.009340716,0.49352992,0.07150824,0.0034428982,0.046159904
0.15088654,0.008991812,0.4729827,0.07033403,0.0033042333,0.04523352
0.14530402,0.008709263,0.45531553,0.069288224,0.0033191154,0.045335177
0.1410952,0.008472149,0.44207588,0.068387255,0.0032623084,0.044966538
0.13746223,0.0082531795,0.4306968,0.067539126,0.0031862962,0.044460956
0.13374698,0.008061159,0.41895336,0.066750474,0.003186929,0.044459336
0.13015662,0.007867662,0.40763044,0.06591764,0.0032321976,0.044786986
0.12797055,0.0077174506,0.40084344,0.06524323,0.003171959,0.044374358
0.12583706,0.0075756516,0.39420512,0.06460007,0.0032026523,0.04457466
0.12341116,0.007462799,0.386494,0.0640825,0.003089292,0.04382733
0.121586025,0.0073571983,0.3807628,0.06359031,0.0031568506,0.04425265
0.12003887,0.0072685145,0.37590104,0.06315756,0.0031402484,0.044228062
0.11828921,0.007186629,0.37034172,0.062768325,0.0031258208,0.04411183
0.11775322,0.007126456,0.36875618,0.06247948,0.0031301675,0.044116057
0.11661058,0.007066879,0.36514562,0.0621642,0.0030949705,0.043890312
0.11558357,0.007012932,0.36190194,0.061880723,0.0031369526,0.044210285
